uid,eprintid,datestamp,value,count
9889727,17537,20230601,downloads,2
9889728,13164,20230601,downloads,1
9889729,6213,20230601,downloads,1
9889730,26339,20230601,downloads,1
9889731,23384,20230601,downloads,1
9889732,13532,20230601,downloads,1
9889733,10618,20230601,downloads,1
9889734,8963,20230601,downloads,1
9889735,9089,20230601,downloads,1
9889736,21710,20230601,downloads,2
9889737,13297,20230601,downloads,1
9889738,40607,20230601,downloads,1
9889739,6227,20230601,downloads,1
9889740,25606,20230601,downloads,1
9889741,8242,20230601,downloads,1
9889742,12710,20230601,downloads,2
9889743,29836,20230601,downloads,2
9889744,29843,20230601,downloads,2
9889745,22333,20230601,downloads,2
9889746,44740,20230601,downloads,1
9889747,18860,20230601,downloads,1
9889748,16520,20230601,downloads,2
9889749,26574,20230601,downloads,3
9889750,25905,20230601,downloads,1
9889751,18027,20230601,downloads,1
9889752,24199,20230601,downloads,1
9889753,13623,20230601,downloads,1
9889754,26659,20230601,downloads,1
9889755,23542,20230601,downloads,1
9889756,15899,20230601,downloads,2
9889757,44912,20230601,downloads,2
9889758,14170,20230601,downloads,2
9889759,10967,20230601,downloads,1
9889760,29516,20230601,downloads,2
9889761,38853,20230601,downloads,1
9889762,29935,20230601,downloads,2
9889763,19376,20230601,downloads,1
9889764,40571,20230601,downloads,1
9889765,29973,20230601,downloads,2
9889766,39165,20230601,downloads,1
9889767,18662,20230601,downloads,2
9889768,27682,20230601,downloads,1
9889769,19375,20230601,downloads,1
9889770,8223,20230601,downloads,1
9889771,21427,20230601,downloads,1
9889772,16052,20230601,downloads,2
9889773,35208,20230601,downloads,1
9889774,30849,20230601,downloads,1
9889775,26186,20230601,downloads,2
9889776,11382,20230601,downloads,1
9889777,15892,20230601,downloads,2
9889778,13550,20230601,downloads,1
9889779,13431,20230601,downloads,1
9889780,13808,20230601,downloads,1
9889781,13774,20230601,downloads,1
9889782,6351,20230601,downloads,1
9889783,22455,20230601,downloads,2
9889784,22789,20230601,downloads,1
9889785,7968,20230601,downloads,1
9889786,19072,20230601,downloads,1
9889787,37601,20230601,downloads,1
9889788,10898,20230601,downloads,1
9889789,42904,20230601,downloads,1
9889790,18386,20230601,downloads,1
9889791,12160,20230601,downloads,1
9889792,34535,20230601,downloads,1
9889793,29866,20230601,downloads,2
9889794,12356,20230601,downloads,1
9889795,38050,20230601,downloads,1
9889796,14148,20230601,downloads,2
9889797,43421,20230601,downloads,1
9889798,7916,20230601,downloads,1
9889799,11836,20230601,downloads,1
9889800,6952,20230601,downloads,2
9889801,21316,20230601,downloads,1
9889802,6204,20230601,downloads,1
9889803,40356,20230601,downloads,1
9889804,4100,20230601,downloads,1
9889805,9023,20230601,downloads,1
9889806,14740,20230601,downloads,1
9889807,39930,20230601,downloads,1
9889808,8171,20230601,downloads,1
9889809,33216,20230601,downloads,1
9889810,11681,20230601,downloads,1
9889811,29922,20230601,downloads,2
9889812,10507,20230601,downloads,1
9889813,17305,20230601,downloads,2
9889814,11912,20230601,downloads,1
9889815,42915,20230601,downloads,1
9889816,23468,20230601,downloads,1
9889817,10611,20230601,downloads,1
9889818,25545,20230601,downloads,2
9889819,6197,20230601,downloads,1
9889820,38946,20230601,downloads,1
9889821,20920,20230601,downloads,1
9889822,40536,20230601,downloads,1
9889823,43935,20230601,downloads,1
9889824,44250,20230601,downloads,1
