uid,eprintid,datestamp,value,count
9475549,44066,20230601,views,1
9475550,27216,20230601,views,1
9475551,34286,20230601,views,1
9475552,13499,20230601,views,1
9475553,17537,20230601,views,1
9475554,44169,20230601,views,1
9475555,24848,20230601,views,1
9475556,39517,20230601,views,1
9475557,44681,20230601,views,1
9475558,7814,20230601,views,1
9475559,40655,20230601,views,1
9475560,2782,20230601,views,1
9475561,35808,20230601,views,1
9475562,42650,20230601,views,1
9475563,32401,20230601,views,1
9475564,40607,20230601,views,1
9475565,33707,20230601,views,1
9475566,44220,20230601,views,1
9475567,35709,20230601,views,1
9475568,37422,20230601,views,1
9475569,40455,20230601,views,1
9475570,37901,20230601,views,1
9475571,44415,20230601,views,1
9475572,44740,20230601,views,1
9475573,17839,20230601,views,1
9475574,2823,20230601,views,1
9475575,44502,20230601,views,1
9475576,12053,20230601,views,1
9475577,27879,20230601,views,1
9475578,8550,20230601,views,1
9475579,33254,20230601,views,1
9475580,7722,20230601,views,1
9475581,44818,20230601,views,1
9475582,7644,20230601,views,1
9475583,18124,20230601,views,1
9475584,39885,20230601,views,1
9475585,44832,20230601,views,2
9475586,42387,20230601,views,1
9475587,44103,20230601,views,1
9475588,44912,20230601,views,2
9475589,42159,20230601,views,1
9475590,12378,20230601,views,1
9475591,3986,20230601,views,1
9475592,44727,20230601,views,1
9475593,18295,20230601,views,1
9475594,17682,20230601,views,1
9475595,43745,20230601,views,1
9475596,32531,20230601,views,1
9475597,15987,20230601,views,1
9475598,35404,20230601,views,1
9475599,44522,20230601,views,1
9475600,37060,20230601,views,2
9475601,23884,20230601,views,1
9475602,44756,20230601,views,2
9475603,32523,20230601,views,1
9475604,38805,20230601,views,1
9475605,43758,20230601,views,1
9475606,44666,20230601,views,1
9475607,41585,20230601,views,1
9475608,26083,20230601,views,1
9475609,16528,20230601,views,1
9475610,35405,20230601,views,1
9475611,44495,20230601,views,1
9475612,40721,20230601,views,1
9475613,30549,20230601,views,1
9475614,41773,20230601,views,2
9475615,7655,20230601,views,1
9475616,42805,20230601,views,1
9475617,38147,20230601,views,1
9475618,6846,20230601,views,1
9475619,8533,20230601,views,2
9475620,43220,20230601,views,1
9475621,31274,20230601,views,1
9475622,43386,20230601,views,1
9475623,7512,20230601,views,1
9475624,28639,20230601,views,1
9475625,41049,20230601,views,1
9475626,32140,20230601,views,2
9475627,9114,20230601,views,1
9475628,18908,20230601,views,1
9475629,10639,20230601,views,1
9475630,29260,20230601,views,1
9475631,25245,20230601,views,1
9475632,9657,20230601,views,1
9475633,35425,20230601,views,1
9475634,44056,20230601,views,1
9475635,40178,20230601,views,1
9475636,35863,20230601,views,3
9475637,6976,20230601,views,1
9475638,44806,20230601,views,1
9475639,38930,20230601,views,1
9475640,43452,20230601,views,1
9475641,18597,20230601,views,1
9475642,34280,20230601,views,1
9475643,9608,20230601,views,1
9475644,40356,20230601,views,1
9475645,44392,20230601,views,1
9475646,32152,20230601,views,1
9475647,6158,20230601,views,1
9475648,35408,20230601,views,4
9475649,7684,20230601,views,1
9475650,42660,20230601,views,1
9475651,43743,20230601,views,2
9475652,5650,20230601,views,2
9475653,44745,20230601,views,3
9475654,32677,20230601,views,2
9475655,41182,20230601,views,1
9475656,5152,20230601,views,1
9475657,38946,20230601,views,1
9475658,41586,20230601,views,1
9475659,43935,20230601,views,1
9475660,20863,20230601,views,1
9475661,27232,20230601,views,1
9475662,20486,20230601,views,1
9475663,9237,20230601,views,1
9475664,34235,20230601,views,1
9475665,6393,20230601,views,1
9475666,41612,20230601,views,1
9475667,44847,20230601,views,4
9475668,44627,20230601,views,1
9475669,6389,20230601,views,1
9475670,34957,20230601,views,1
9475671,44168,20230601,views,1
9475672,33891,20230601,views,3
9475673,31228,20230601,views,1
9475674,39351,20230601,views,1
9475675,26017,20230601,views,2
9475676,43747,20230601,views,1
9475677,43453,20230601,views,2
9475678,9772,20230601,views,1
9475679,26103,20230601,views,1
9475680,43219,20230601,views,1
9475681,43906,20230601,views,1
9475682,9562,20230601,views,1
